Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt220914_cp0_q1_s10,synopsis,,ある日、麦わらの一味が快晴の海を進んでいると、突如巨大な積乱雲が近づいてくる。積乱雲が眩しい光を放つと、ルフィ達はあっという間に雲の中に吸い込まれてしまう。あとに残ったのは、穏やかな海と誰もいないサウザンドサニー号だけだった。,"어느 날, 밀짚모자 일당이 쾌청한 바다를 가고 있던 도중 갑자기 거대한 적란운이 다가온다. 적란운이 눈부신 빛을 내자 루피 일행은 순식간에 구름 속으로 빨려 들어가 버린다. 남은 것은 잔잔한 바다와 아무도 없는 사우전드 써니호뿐이었다."
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>海──</span><br><span class='scene-font-katari'>どこまでも続いている一面の青。</span>,<span class='scene-font-katari'>바다──</span><br><span class='scene-font-katari'>어디까지 이어진 일면의 파랑.</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>その波間に一隻の帆船が浮かび、</span><br><span class='scene-font-katari'>潮風を背に大海原を進んでいる。</span>,"<span class='scene-font-katari'>그 파도 위에 한 척의 범선이 떠올라,</span><br><span class='scene-font-katari'>바다 바람을 등지고 커다란 바다를 나아가고 있었다.</span>"
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>空には燦々と照る太陽。</span><br><span class='scene-font-katari'>水平線には大きな積乱雲。</span><br><span class='scene-font-spword'>“新世界”</span><span class='scene-font-katari'>は今日も冒険日和であった。</span>,<span class='scene-font-katari'>하늘에는 눈부시게 빛나는 태양.</span><br><span class='scene-font-katari'>수평선엔 커다란 적란운.</span><br><span class='scene-font-spword'>“신세계”</span><span class='scene-font-katari'>는 오늘도 모험하기 좋은 날이었다.</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,하하핫！<br>저기 봐！<br>맛있어 보이는 물고기가 여기저기 헤엄치고 있다고!
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,<span class='scene-font-4'>ふたりとも起きろ！</span><br>一番でっかいのを釣った奴が優勝だ！,<span class='scene-font-4'>둘다 일어나！</span><br>누가 가장 큰 녀석을 낚는 지 승부다！
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,ど～でもいいよ……<br>魚よりアイス食いてェ……,아~무래도 좋다고……<br>물고기보다 아이스크림 먹고 싶어어……
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,次の島はまだなのか……<br>あちィのはダメなんだ……,다음 섬은 아직인가……<br>더운건 진짜 무리야……
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,<span class='scene-font-4'>何だよ！</span><br>ふたりともノリが悪ィぞ！,<span class='scene-font-4'>뭐야！</span><br>둘 다 반응이 시원찮네！
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,だってよォ～……,그치만 말야아～……
Japanese,scene_evt220914_cp0_q1_s10,detail,ゾロ,はっ……<br>不甲斐ねェ……<br>この程度の熱気で……,핫……<br>꼴불견이군……<br>이 정도의 열기로……
Japanese,scene_evt220914_cp0_q1_s10,detail,ゾロ,精神修行のいい機会だろ……<br>限界の向こう側まで我慢するぞ……,정신수행에 좋은 기회겠지……<br>한계의 저편까지 참아보겠어……
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,ん……？<br>ゾロのヤツ何かブツブツ言ってるぞ？<br>酒樽に向かって。,응……？<br>조로녀석 뭔가 중얼중얼 이야기 하고 있는데？<br>술통을 향해.
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,日射病か……？<br>意識が曖昧で目の焦点も合ってねェ。<br>剣の訓練でずっと日向にいたせいだ。,일사병인가……？<br>의식이 애매하고 눈의 초점이 안 맞아.<br>검 훈련한다고 계속 양지에 있어서 그런거야.
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,いいなゾロ！<br>釣り大会はやめて我慢大会にするか！<br>みんなで向こう側とかを見るぞ！
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,向こう側って……<br>どう考えてもあの世だろ……
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,おい何サボってんだよ。<br>遊んでる暇があるなら掃除でも頼むぜ。
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,あ、我らがコック様……！<br>頼む、アイスを恵んでください！
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,おねがいだ……！<br>贅沢は言わねェよ、氷でもいいんだ！
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,どっちも駄目だ。<br>ちょうど今かき氷の注文があってよ。
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,おいマリモ。<br>その酒樽をキッチンまで持って来い。<br>ナミさん達に大人のシロップを作る。
Japanese,scene_evt220914_cp0_q1_s10,detail,ゾロ,あ……？<br>知るかマユゲ……<br>精神修行の邪魔すんな……
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,は……？<br>何でモップに向かって喋ってんだ？<br>熱気で頭が茹で上がっちまったか？
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,うわあ……<br>とりあえずゾロを日陰に運ぶか。
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,わかった……<br>そっちの清潔で風が通る場所に──
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,ん……？<br>何だ……？<br>一面日陰になっちまったぞ？
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,急に曇ったな……<br>さっきまで快晴だったのに……
Japanese,scene_evt220914_cp0_q1_s10,detail,ナミ,みんな、緊急事態よ！<br>巨大な積乱雲が近づいて来てるわ！
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,積乱雲？
Japanese,scene_evt220914_cp0_q1_s10,detail,ロビン,ええ。<br>このままだと酷い暴風雨になる……<br>急いで退避する必要があるわ。
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,退避だって？<br>大袈裟だろ。<br>今まで暴風雨なんて何度も──
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>そこでウソップは、</span><br><span class='scene-font-katari'>船尾の先に目を遣り息を飲んだ。</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>そこには雪崩か津波の様に、</span><br><span class='scene-font-katari'>怒涛に迫り来る空一面の雲があった。</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,チョッパー,嘘だろ……<br>あんなでかいのにつかまったら、<br>軍艦だってヤベェだろ！
Japanese,scene_evt220914_cp0_q1_s10,detail,ジンベエ,<span class='scene-font-4'>いかん！</span><br>奴さんの風速がどんどん上がっておる！<br>サニーの船足を超えておるぞ！
Japanese,scene_evt220914_cp0_q1_s10,detail,ナミ,参ったわね……！<br>まるで私達を狙ってる様な軌道だわ……
Japanese,scene_evt220914_cp0_q1_s10,detail,ブルック,いくら“新世界”といえども、<br>あの雲は明らかに異常です。<br>このままでは船がお陀仏に……
Japanese,scene_evt220914_cp0_q1_s10,detail,ブルック,あ、私お陀仏、一度経験してますけど！<br><span class='scene-font-4'>ヨホホホ！！</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,ロビン,どうする？<br>荷物を捨ててサニーの軽量化を図る？<br>いちかばちか通り過ぎるのを待って……
Japanese,scene_evt220914_cp0_q1_s10,detail,フランキー,<span class='scene-font-4'>その必要はねェ！</span><br><span class='scene-font-spword'>“風来・バースト”</span>の準備完了だぜ！
Japanese,scene_evt220914_cp0_q1_s10,detail,ジンベエ,おお！<br>例の緊急加速装置か！
Japanese,scene_evt220914_cp0_q1_s10,detail,フランキー,<span class='scene-font-4'>かっとばすぜ！</span><br>“風来”──
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,ん……？<br>何か光ってねェか？
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,あの積乱雲の仕業か！
Japanese,scene_evt220914_cp0_q1_s10,detail,サンジ,ナミさんロビンちゃん！
Japanese,scene_evt220914_cp0_q1_s10,detail,フランキー,クソ……<br>いよいよ気味の悪ィ雲だぜ……！
Japanese,scene_evt220914_cp0_q1_s10,detail,フランキー,改めて……！<br>“風来”──
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,おっ……？<br>また光ったぞ。<br>何か花火みてェだなあ──
Japanese,scene_evt220914_cp0_q1_s10,detail,ルフィ,<span class='scene-font-4'>うはあ──！？</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,ナミ,<span class='scene-font-4'>ルフィ！？</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,ナミ,って……<br>ちょっと待って……<br>あの雲の形はまさか──
Japanese,scene_evt220914_cp0_q1_s10,detail,ナミ,<span class='scene-font-4'>きゃあ──！</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,ウソップ,<span class='scene-font-4'>何じゃこりゃあ──！！</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,麦わらの一味,<span class='scene-font-4'>────！？</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>眩い光が降り注ぎ、</span><br><span class='scene-font-katari'>あたり一面が真っ白に染まった。</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>あとに残ったのは</span><br><span class='scene-font-katari'>穏やかな海と、誰もいない</span><br><span class='scene-font-katari'>サウザンド・サニー号だった。</span>
Japanese,scene_evt220914_cp0_q1_s10,detail,,<span class='scene-font-katari'>ルフィ達の行方は果たして──</span>
