Type,Name,Origin,Korean
condition_win,,異形の化け物を撃破せよ！,이형의 괴물을 격파하자!
condition_win,,敗北条件：煉󠄁獄杏寿郎の戦闘不能,패배조건：렌고쿠 코쥬로의 전투불능
text_jp,,仲間には手出しさせん！,동료에게는 손대지 못한다!
text_en,,You will not touch my comrades!,동료에게는 손대지 못한다!
condition_win,,幽世の軍勢の進行を食い止めろ！,유세의 군세의 진행을 멈춰라!
condition_win,,敗北条件：いずれかのキャラの戦闘不能,패배조건：어느 캐릭터든 전투불능
text_jp,,強力な気配を感じます……！<br>気を付けてください！,강력한 기운이 느껴져요...! <br>조심하세요!
text_en,,I can feel it... A powerful attack's coming! Be careful!,강력한 기운이 느껴져요...! <br>조심하세요!
text_jp,,ここは任せろ。,여기는 맡겨둬라.
text_en,,Leave the rest to me.,여기는 맡겨둬라.
text_jp,,お、おい！　まだ出てくるぜ……！<br>この状況……どうすりゃいいんだ！？,"어,어이! 계속 튀어나오는데..?!  <br> 이 상황.. 어떻게 해야하는거야..?!"
text_en,,Wh-what the! They just keep spawnin'! How are we supposed to end this nightmare?,"어,어이! 계속 튀어나오는데..?!  <br> 이 상황.. 어떻게 해야하는거야..?!"
text_jp,,っ、大丈夫か！？,"읏, 괜찮아?!"
text_en,,Are you okay!,"읏, 괜찮아?!"
text_jp,,ちょっと私に見せて下さい。,잠깐 저에게 보여주세요.
text_en,,Hold still now.,잠깐 저에게 보여주세요.
text_jp,,凄いです！あれだけの傷が<br>一瞬で治っちゃいました……！,굉장해요! 그 많던 상처가<br>한번에 나았어요..!
text_en,,What? All those injuries just vanished in an instant!,굉장해요! 그 많던 상처가<br>한번에 나았어요..!
text_jp,,私は薬学に精通しているんです。,저는 약학에 정통해서요.
text_en,,I know a thing or two about medicine.,저는 약학에 정통해서요.
text_jp,,気を抜くな、まだ来るぞ！,"방심하지마라, 계속 온다!"
text_en,,On your guard! This battle is not over!,"방심하지마라, 계속 온다!"
text_jp,,かく……り……よ……<br>まも……らね…ば……！,유……세……<br>지켜……야…만……！
text_en,,Defend... the... Other... world!,유……세……<br>지켜……야…만……！
text_jp,,冨岡は援護を頼む！,토미오카는 원호를 부탁한다!
text_en,,"Tomioka, we need your help!",토미오카는 원호를 부탁한다!
text_jp,,ここを凌ぎきり、<br>一気に終わらせるぞ！,"여기를 견뎌내고, <br> 한번에 끝내버리자!"
text_en,,"If we can hold out against this next attack, this battle is ours!","여기를 견뎌내고, <br> 한번에 끝내버리자!"
text_jp,,援護する！,원호하겠다!
text_en,,"I am with you, Nezha!",원호하겠다!
text_jp,,ふふん！　アタシの魔眼を<br>お見舞いしてあげたわ！,헤엣! 내 마안을<br>먹여주겠어!
text_en,,Hah! Gave 'em a taste of my petrifying glare!,헤엣! 내 마안을<br>먹여주겠어!
text_jp,,今がチャンスよ！<br>やっちゃいなさい！,지금이 찬스야!<br>끝내버려!
text_en,,Now's your chance! Finish this!,지금이 찬스야!<br>끝내버려!
text_jp,,幽世の門って言うから<br>ビクビクしていたけど、<br>結構いけそうだな！,유세의 문이라고해서<br>쫄았는데<br>뭔가 될 것 같네!
text_en,,"Man, I got kinda scared 'cause we're fightin' the Otherworld Gate and all, but this is easier than slicin' through pie!",유세의 문이라고해서<br>쫄았는데<br>뭔가 될 것 같네!
text_jp,,…………<br>（すごく嫌な匂いがする……）,…………<br>（아주 싫은 냄새가 나……）
text_en,,... (I smell danger...),…………<br>（아주 싫은 냄새가 나……）
text_jp,,妙な術を食らったか……。,묘한 기술을 당했군...
text_en,,What strange art is this...,묘한 기술을 당했군...
text_jp,,ヤベェぞ！ ここは回復に<br>専念した方がいいんじゃねぇか？,위험해! 여기는 회복에<br>전념하는게 좋지 않을까?!
text_en,,Uh-oh! We'd better patch ourselves up—and fast!,위험해! 여기는 회복에<br>전념하는게 좋지 않을까?!
text_jp,,落ち着け、呼吸を整えろ……！<br>俺は、挫けない……！,"진정하고, 호흡을 정돈해...!<br>나는, 꺾이지않아...!"
text_en,,Calm down... Steady your breathing... I won't let things end here!,"진정하고, 호흡을 정돈해...!<br>나는, 꺾이지않아...!"
text_jp,,っ！？,！？
text_en,,...!,！？
text_jp,,刃を障壁のようなもので<br>弾いているようだな。,칼날을 장벽같은 것으로<br>튕겨내고 있는 것 같군.
text_en,,It seems your blades are being deflected by some kind of barrier.,칼날을 장벽같은 것으로<br>튕겨내고 있는 것 같군.
text_jp,,はっはー！　面白ぇ！<br>お前等、伊之助様に続けー！,"핫하-! 재밌어!<br>모두들, 이노스케님을 따라라-!"
text_en,,"Haha! Things are getting interesting! Minions, after me!","핫하-! 재밌어!<br>모두들, 이노스케님을 따라라-!"
text_jp,,す、すげぇ……。<br>障壁を破っちまったぜ……。,"괴,굉장해... <br> 장벽을 깨부셨어..."
text_en,,What the... He just barreled through that force field like it was made of cardboard.,"괴,굉장해... <br> 장벽을 깨부셨어..."
text_jp,,ワハハハハ！！,와하하하하!!
text_en,,Muahahaha!,와하하하하!!
text_jp,,おい！　気味悪ぃのが<br>広がってくぞ！？,어이! 이상한게<br>퍼지고있는데...?!
text_en,,Hey! The sticky's spreading again!,어이! 이상한게<br>퍼지고있는데...?!
text_jp,,ああぁぁぁどうしよう……<br>どうしよう炭治郎ぅぅぅ…… ,아아아아..어쩌지..<br>어쩌지 탄지로오오...
text_en,,Waah... What do we do... What do we do... Tanjirooo...,아아아아..어쩌지..<br>어쩌지 탄지로오오...
text_jp,,…… いや、大丈夫だ。<br>みんなで戦えば、必ず勝てる！,".... 아냐, 괜찮아. <br>모두와 함께 싸우면, 반드시 이길 수 있어!"
text_en,,"We'll be fine. As long as we work together, there's nothing that can stop us!",".... 아냐, 괜찮아. <br>모두와 함께 싸우면, 반드시 이길 수 있어!"
text_jp,,もっと、呼吸を<br>研ぎ澄ませるんだ……！,"더욱 더, 호흡을<br>가다듬는거야...!"
text_en,,I have to focus my breathing more!,"더욱 더, 호흡을<br>가다듬는거야...!"
text_jp,,良く踏みとどまった！<br>竈門少年達！,잘 내딛었다!<br>카마도 소년!
text_en,,"You did well to hold out this long, Kamado!",잘 내딛었다!<br>카마도 소년!
text_jp,,敵の術が解けましたね。<br>でも、まだ終わりじゃないようです。,"적의 기술이 풀렸네요. <br> 하지만, 아직 끝나지는 않은 것 같네요."
text_en,,"Yes, its magic's faded. But it seems the fight still isn't over.","적의 기술이 풀렸네요. <br> 하지만, 아직 끝나지는 않은 것 같네요."
text_jp,,正念場だ！　呼吸を意識しろ！<br>ここで終わらせるぞ！,중대국면이다! 호흡을 의식해라! <br> 여기서 끝내겠어!
text_en,,Draw deep breaths and concentrate! This next blow will decide the battle!,중대국면이다! 호흡을 의식해라! <br> 여기서 끝내겠어!
text_jp,,一気に片を付けましょう。,단번에 정리합시다.
text_en,,We'll eradicate them all at once.,단번에 정리합시다.
text_jp,,オイラ達も最後までみんなと<br>力を合わせて戦うぜ！,우리들도 마지막까지 모두와 함께<br>힘을 합쳐 싸우겠어!
text_en,,We're with you to the very end!,우리들도 마지막까지 모두와 함께<br>힘을 합쳐 싸우겠어!
text_jp,,呼吸を研ぎ澄ませろ……！<br>ここで必ず倒すんだ……！,호흡을 가다듬어라...! <br> 여기서 반드시 쓰러트리는거야....!
text_en,,Come on... Focus your breathing! It's now or never!,호흡을 가다듬어라...! <br> 여기서 반드시 쓰러트리는거야....!
