Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210329_cp0_q1_s10,synopsis,,ある日、[플레이어]達はアニラから、「十二神将会議」が開かれることを聞く。それは情報を共有し、親交を深めるために十二神将全員が集まる会議であり、今年はフライデーが経営し、「ワーケーション」にうってつけだという大きなレジャー施設「スーパーリゾートアロハス」で行われるらしい。[플레이어]達は、アニラ達十二神将を施設まで送り届けることにするのだった。,"어느날、[플레이어]일행은 아니라로부터, 「십이신장회의」가 개최된다는 것을 듣는다. 그것은 정보를 공유하고 친분을 쌓기 위해 십이신장 전원이 모이는 회의로 올해는 프라이데이가 경영해 「워케이션」에 안성맞춤인 대형 레저시설 「슈퍼리조트 알로하스」에서 열리는 것 같다. [플레이어] 일행은 아니라의 일행인 12신장을 시설까지 바래다 주기로 하는 것이었다."
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>身を切るような冷たい風が</span><br><span class='scene-font-katari'>空を吹き抜けるある日のこと、</span><br><span class='scene-font-katari'>ふたつの影が甲板にあった。</span>,<span class='scene-font-katari'>살을 에는 듯한 차가운 바람이</span><br><span class='scene-font-katari'>하늘을 스치던 어느날、</span><br><span class='scene-font-katari'>두개의 그림자가 갑판에 있었다.</span>
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>ひとりは[플레이어]。</span><br><span class='scene-font-katari'>もうひとりは大きな巻角が特徴的な</span><br><span class='scene-font-katari'>年若いドラフの女性である。</span>,<span class='scene-font-katari'>하나는 [플레이어]。</span><br><span class='scene-font-katari'>또 하나는 크고 둥글게 말린 뿔이 특징적인</span><br><span class='scene-font-katari'>젊은 드라프 여성이었다.</span>
Japanese,scene_evt210329_cp0_q1_s10,detail,아니라,うぅ、寒い……<br>こういう日はおこたで<br>温まるに限るのう。,"으으, 춥구나……<br>이런 날에는 자고로 <br>코타츠에서 몸을 데워야 하거늘."
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>十二神将がひとり、</span><br><span class='scene-font-katari'>羊神アニラはそう言って</span><br><span class='scene-font-katari'>冷えた手をすり合わせる。</span>,"<span class='scene-font-katari'>십이신장 중 한 명인 ,</span><br><span class='scene-font-katari'>양신장 아니라는 그렇게 말하며</span><br><span class='scene-font-katari'>차가워진 손을 비볐다。</span>"
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>覇空戦争後、</span><br><span class='scene-font-katari'>星の世界の動向を監視するために</span><br><span class='scene-font-katari'>空の民は十二の神社を建てた。</span>,<span class='scene-font-katari'>패공 전쟁이 끝난 후 </span><br><span class='scene-font-katari'>별의 세계의 동향을 감시하기 위해</span><br><span class='scene-font-katari'>하늘의 민족은 12개의 신사를 지었다.</span>
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>十二神将とはその各神社の長であり、</span><br><span class='scene-font-katari'>代々、その役目を受け継いできた</span><br><span class='scene-font-katari'>神聖な存在として崇められている。</span>,<span class='scene-font-katari'>십이신장은 각 신사의 우두머리로、</span><br><span class='scene-font-katari'>대대로 그 역할을 계승해 온</span><br><span class='scene-font-katari'>신성한 존재로 추앙받고 있었다.</span>
Japanese,scene_evt210329_cp0_q1_s10,detail,,<span class='scene-font-katari'>アニラもその役目を見事果たし、</span><br><span class='scene-font-katari'>ふとした縁から[플레이어]達と</span><br><span class='scene-font-katari'>空の旅を共にしているのだが……</span>,<span class='scene-font-katari'>아니라도 그 역할을 훌륭히 완수하고、</span><br><span class='scene-font-katari'>우연한 인연에 이끌려 [플레이어]일행과 </span><br><span class='scene-font-katari'>하늘을 여행하는 중 이었는데……</span>
Japanese,scene_evt210329_cp0_q1_s10,detail,아니라,次の依頼、<br>なかなか厄介な案件のようじゃの。<br>そなたならやり遂げると思うが……,다음 의뢰는 <br>꽤 성가신 안건인가 보더군.<br>자네라면 해낼 수 있다고 생각하지만……
Japanese,scene_evt210329_cp0_q1_s10,detail,아니라,すまぬのう。<br>以前から申しておる通り、我らは──,미안하구려.<br>이전에 언질 했던 대로、우리들은──
Japanese,scene_evt210329_cp0_q1_s10,detail,비이,おーい！<br>こんな寒い中、なにしてんだぁ？,어ー이！<br>이렇게 추운데、뭐 하고 있어？
Japanese,scene_evt210329_cp0_q1_s10,detail,루리아,アニラさん、こんにちは！<br>なにをお話しされてたんですか？,아니라씨、안녕하세요！<br>무슨 이야기를 하고 계셨나요?？
Japanese,scene_evt210329_cp0_q1_s10,detail,아니라,くふふっ！<br>寒空の下でもそなたらは元気じゃな。<br>なに、たいした話でもないのじゃが……,크후후훗！<br>이렇게 추운 날씨에도 임자들은 건강 하구만 <br>뭐、대단한 이야기도 아니네만……
