orig,kr
適正Rank,적정 Rank
図鑑 武器一覧に戻る,도감 무기 목록으로 돌아가기
情報,정보



スパタ,스파타
甲羅や鱗で身を守るだけでは栄光を勝ち取れないだろう。この剣の如き鋭い牙が必要だ。,갑각이나 비늘로 몸을 지키는 것만으로는 영광을 차지하지 못할 것이다。이 검처럼 예리한 송곳니가 필요하다。

ダブルスラッシュ,더블 슬래시
風属性ダメージ(小),풍속성 데미지(소)
火属性ダメージ(小),화속성 데미지(소)
水属性ダメージ(小),수속성 데미지(소)
土属性ダメージ(小),토속성 데미지(소)
ステップバイト,스텝 바이트
ハードスマッシュ,하드 스매시

ブロンズスパタ,브론즈 스파타
重装騎兵隊は青銅の牙を携えていた。馬上から繰り出される刃は次々と敵を貫いていく。,중장기병대는 청동의 엄니를 가지고 있다。마상에서 내찌르는 칼날은 차례차례로 적을 꿰뚫는다。

スチールソード,스틸 소드
どの群島でも手に入る一般的な剣。特別な力は持たないが、その普遍性こそが武器としての真髄を現している。,"어느 군도에서나 구할 수 있는 일반적인 검。특별한 점은 없지만, 보편성은 이 무기의 진수를 보여준다。"


アイアンレイピア,아이언 레이피어
切り結ぶ二人の戦士。幾度も打ち合う二人の剣。折れ飛んだのは細身の剣。勝敗は決す。,검을 부딪치는 두명의 전사。몇번이고 검을 부딪치는 두명의 전사。부러지는 것은 가는 검。승패는 결정났다。


ブロンズソード,브론즈 소드
老いた元戦士が言う。この剣はな、叩きつけちゃイカン。体重を乗せて突き刺すんじゃ。,"늙은 전직 검사가 말했다。이 검은 말이지, 그저 내려쳐선 안된다네。몸무게를 실어서 찌르는거라네。"

サーベル,사벨
騎兵の強みはその機動力にある。敗走する敵を追いかけ、馬上から次々と切り裂くのだ。,"기병의 강점은 기동력이다。달아나는 적을 쫒아가, 마상에서 차례로 베어내는 것이다。"


ブロンズサーベル,브론즈 사벨
手入れの行き届いた刀剣はよく切れる。自分の技を鍛えるように、得物の管理を怠るな。,잘 관리된 검은 예리하다。자신의 기술을 연마할 수 있도록 관리를 소홀히 하지 말라。

ブロンズレイピア,브론즈 레이피어
決闘が野蛮なんて言うのは腰抜けさ。矜持を守るために血を流して勇気を示さないとな。,결투가 야만적이라고 말하는건 겁쟁이들이나 하는 말이야。긍지를 지키기 위해 피를 흘리고 용기를 보여줘야지。

ブロードソード,브로드 소드
戦士というのは質実剛健なこの剣のようでなくては。そう言ってベテランは武器を磨く。,전사란 질실강건한 이 검과 같아야 돼。그렇게 말하며 베테랑은 무기를 닦았다。

グラディウス,글라디우스
肉厚な刀身は頑強そのもの。蛮勇が支配する戦場に求められるのは繊細さなどではなく、無骨な実用性のみである。,두꺼운 도신은 완강함 그 자체。만용이 지배하는 전쟁터에 요구되는 것은 섬세함이 아닌 투박한 실용성뿐이다。

ロングソード,롱소드
一度でも戦士の魂を手にしたならば解るはずだ。その重みを最後まで忘れてはならない。,한 번이라도 전사의 영혼을 손에 쥐면 이해할 수 있을 것이다。그 무게를 끝까지 잊지 말아야 한다。

アイアンソード,아이언 소드
精錬技術が未熟だった頃は、大量に鉄を使う剣は、所有していることが財力の証だった。,"제련술이 미숙했던 시절에는, 대량의 철을 녹여 만든 검을 소유한 것이 그 사람의 재력을 나타내는 증거였다。"

アイアンスパタ,아이언 스파타
左手に盾を、右手に剣を。整然と並ぶ重装の兵士たちは鉄を纏い、地平線を黒く染めた。,"왼손에 방패를, 오른손에 검을。질서정연하게 늘어선 병사들은 철을 걸치고 지평선을 검게 물들였다。"

アイアンサーベル,아이언 사벨
熟練の騎兵は曲刀を自らの腕に、愛馬を足として、敗走する敵を追い戦場を切り裂いた。,"숙련된 기병은 곡도를 손에 쥐고, 애마를 몰며, 달아나는 적을 쫒아 전장을 갈랐다。"

スチールスパタ,스틸 스파타
鉄ってやつは十分硬いが、鍛えてやれば更に強靭な鋼になる。戦士もそうでなくてはな。,"철이란 것은 충분히 단단하지만, 단련할수록 더욱 강인한 강철이 된다네。전사들도 마찬가지지。"

スチールサーベル,스틸 사벨
鍛冶屋が満足そうに頷き剣を差し出す。見てくれ、この黒々と光る鋼の曲線の美しさを。,"대장장이가 흡족한 듯 고개를 끄덕이며 검을 내민다。봐주게, 이 검게 빛나는 강철과 곡선의 아름다움을。"

スチールレイピア,스틸 레이피어
一撃でいい。心臓でも喉でも、敵の急所を一突きできれば、大概の敵はそれで終わりさ。,"일격이면 충분하다。심장이든 목이든, 적의 급소를 한번만 찌를 수 있다면, 대부분의 적은 그걸로 끝이다。"

ダガー,대거
間合いの長い武器を持っているからと油断はするなよ、手練れの持つ短剣は恐ろしいぞ。,"기다란 무기를 쓴다고 방심하지 마, 능숙하게 사용하는 단검이 무서운 법이야。"

ブロンズダガー,브론즈 대거
護身用にと渡されたその短剣は、高価なものではなくとも十分、心の支えになりました。,"호신용으로 건네준 그 단검은 비싼건 아니였지만, 충분히 마음의 버팀목이 되어주었습니다。"

スチールククリ,스틸 쿠크리
鋼の刃は強靭で粘り強いが、意外と手入れが大変でね。ずぼらには安物をお勧めするぜ。,강철날은 강인하고 예리하지만 날을 갈긴 힘들거든。숫돌질이 귀찮으면 값싼 물건을 추천하지。

アイアンナイフ,아이언 나이프
何でも切れるこの切れ味。林檎に枝に干し肉だってこの通り。護身用にだって大活躍さ。,"이 칼은 뭐든 자를 수 있지。사과, 나뭇가지, 육포는 물론 호신용으로도 안성맞춤이지。"

ブロンズナイフ,브론즈 나이프


ブロンズクリス


ブロンズククリ,브론즈 쿠크리


アイアンダガー


アイアンクリス


アイアンククリ


ナイフ


スチールダガー,스틸 대거


スチールナイフ,스틸 나이프


スチールクリス,스틸 크리스


バゼラード


パイク,파이크


コルセスカ


ブロンズハルベルト


スチールパルチザン


アイアンスピア


ブロンズスピア

グレイブ

ブロンズグレイブ

ブロンズパルチザン

アイアングレイブ

アイアンハルベルト

アイアンパルチザン

スチールスピア

スチールグレイブ

スチールハルベルト

ブロンズアックス
