Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt200128_cp2_q1_s10,synopsis,,アイザックは相棒レイベリィに「彼女には会いたくなかった」と語る。グレイスは意にも介さぬ様子で彼を食事に誘う。「ペットが死んで話し相手が欲しい」と泣かれ、アイザックはしぶしぶ了承する。グレイスの料理を食べるアイザックへ、彼女は「飼っていた幽世の者が死んだので料理にして持ってきた」と話す。たまらず嘔吐する彼へ、グレイスは１本のメスを渡して立ち去った。,아이작은 레이베리에게 그녀를 만나고 싶지 않았다고 말한다. 그레이스는 아랑곳하지 않는 듯 그를 식사에 초대한다. 「애완동물이 죽어 이야기 상대를 갖고 싶다」라고 울자 아이작은 마지못해 승낙한다. 그레이스의 음식을 먹는 아이작에게 그는 기르던 유생자가 죽었기 때문에 요리로 가져왔다고 말한다. 참을 수 없이 구토를 하는 그에게 그레이스는 암컷 하나를 내주고 떠났다.
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,ふふ。<br>ご機嫌よう、解体業者さん。,"후후, 해체업자 씨. 잘 있었어?"
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,……僕はエンジニアだ。<br>建築や解体の知識は深くない。<br>専門外だよ。,...난 엔지니어야. 건축이나 해체 쪽 지식은 별로 없어. 전공이 아니란 말이야.
Japanese,scene_evt200128_cp2_q1_s10,detail,,<span class='scene-font-katari'>警戒心もあらわに</span><br><span class='scene-font-katari'>グレイスを睨むアイザック。</span>,<span class='scene-font-katari'>그는 경계심을 숨기지 않고 드러내며 그레이스를 노려보았다.</span>
Japanese,scene_evt200128_cp2_q1_s10,detail,레이베리,何者だ？,누구지?
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,知り合いさ。<br>会いたくないタイプの。<br>あまりに得体が知れなくてね。,그냥 아는 사람. 만나고 싶지 않은 타입이랄까? 도무지 의도를 알 수가 없거든.
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,うふふ。<br>熱烈にアプローチしすぎちゃったかな？,우후후. 너무 열렬하게 들이댔나?
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,悪いが、あの話なら何回だって断るよ。,미안하지만 그 이야기라면 몇 번을 말해도 거절하겠어.
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,いいじゃない。<br>他に好きな人が<br>いるわけでもないでしょ？,뭐 어때. 딱히 좋아하는 사람이 있는 것도 아니면서?
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,だからって君と結婚なんて無理だ。,그렇다고 해서 너랑 결혼하는 건 무리야.
Japanese,scene_evt200128_cp2_q1_s10,detail,레이베리,アイザック、<br>お前に求婚したのか？<br>確かに得体が知れんな。,"아이작, 너에게 청혼을 했다는 거냐? 확실히 이해하기 힘든 인물이로군."
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,……変な所で口を挟まないでくれ。,...이상한 데에서 끼어들지 말아줄래?
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,そもそも彼女に限った話じゃない。<br>相手が誰であれ僕にその気はないよ。,애초에 그녀뿐만이 아니고 상대가 누구든 난 결혼할 생각 없어.
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,そっかぁ……残念。<br>私達の遺伝子、<br>とっても相性いいと思うのに。,그래...? 아쉽네. 우리 유전자라면 틀림없이 상성이 좋을 거라고 생각했는데.
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,お互いにルーツが悲劇的で、<br>生まれながらの重荷を背負ってる……<br>そんな共通点があるだけじゃないか。,피차 비극적인 핏줄을 가졌고 태어날 때부터 중요한 임무를 지고 있다는 것. 그거 말고는 아무런 공통점도 없잖아.
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,仮に、僕と君が結婚したとして、<br>子供に両方の重荷を背負わせる気かい？<br>そんなの絶対に嫌だよ、僕は。,설령 우리가 결혼했다고 쳐. 태어날 아이한테 양쪽 모두의 짐을 지울 셈이야? 난 그런 건 절대로 싫어.
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,そっか……じゃあ、<br>言葉で説得するのはやめるわ。,그렇구나... 그럼 말로 설득하는 건 그만둘게.
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,刃物でも出すかい？,칼이라도 들이대겠다는 거야?
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,残念、はずれ。<br>答えはこっち。,아쉽지만 틀렸어. 정답은 이거야.
Japanese,scene_evt200128_cp2_q1_s10,detail,,<span class='scene-font-katari'>そう言うと、</span><br><span class='scene-font-katari'>グレイスは肩掛けのカバンから</span><br><span class='scene-font-katari'>広口のビンを取り出した。</span>,<span class='scene-font-katari'>그녀는 그렇게 말하며 어깨에 걸치고 있던 가방에서 입구가 넓은 유리병을 꺼내들었다.</span>
Japanese,scene_evt200128_cp2_q1_s10,detail,글레이스,シチューを作ったの。<br>一緒に食べてくれない？,스튜를 만들었어. 같이 먹지 않을래?
Japanese,scene_evt200128_cp2_q1_s10,detail,아이작,……どうしたんだい、急に。,...갑자기 왜 그래?
