Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210226_cp2_q1_s20,synopsis,,グウィンがレンスの手ほどきを受けた翌日。[플레이어]達がレンスの屋台で話していると、突然グレイスが現れ攻撃を仕掛けてくる。ヨダルラーハが割り込みグレイスと戦いを繰り広げるが、さらに「月への道標」を求める幽世の者達が、グレイスを追って現れる。機神に化けた幽世の者達に一行が囲まれた時、ゼタ、バザラガ、ベアトリクス、そして機神グロウノスが駆け付けるのだった。,"그윈이 렌스의 수련을 받은 다음날. [플레이어] 일행이 렌스의 포장마차에서 이야기하고 있는데, 갑자기 그레이스가 나타나 공격을 가한다. 요달라하가 끼어들어 그레이스와 싸움을 벌이지만 다시 달로 가는 방법을 찾는 유세의 자들이 그레이스를 따라 나타난다. 기신으로 변장한 유세의 자들에게 일행이 둘러싸였을 때 제타, 바자라가, 베아트릭스, 그리고 기신 그로노스가 달려오는 것이었다."
Japanese,scene_evt210226_cp2_q1_s20,detail,,<span class='scene-font-katari'>グウィンがレンスの手ほどきを受けた</span><br><span class='scene-font-katari'>その翌日。</span>,<span class='scene-font-katari'>그윈이 렌스와 대련한 다음날이었다.</span>
Japanese,scene_evt210226_cp2_q1_s20,detail,이루자,……そうか。<br>艇の建設は順調に終わりそうか。<br>なによりだ。,...그래. 배의 건조는 순조롭게 끝날 것 같다고? 다행이군.
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,まあ、あくまでガワだけですけど。<br>動力になる機神の仕組みを、<br>まだ私はあまりわかってないので。,"뭐, 어디까지나 겉부분 뿐이지만요. 저는 동력이 되는 기신의 구조에 대해서는 아직 잘 모르거든요."
Japanese,scene_evt210226_cp2_q1_s20,detail,이루자,アイザックから送られてきた<br>設計図を書き出すのも<br>時間がかかるからな……,아이작이 보낸 설계도를 정서하는 데에도 시간이 걸리니 어쩔 수 없지.
Japanese,scene_evt210226_cp2_q1_s20,detail,이루자,おまけに記述は複雑怪奇だ。<br>片手間に読むわけにもいかんだろう。,게다가 기술된 내용은 복잡하고 기괴하기 짝이 없어. 가볍게 훑어보기도 힘들지 않나.
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,そですね……<br>おまけにすごい量あるので。,그렇죠... 심지어 양도 엄청나고요.
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,あ、でもですね。ひとつ<br>思いついたんです。ユーステス君が<br>言ってた、リスクの軽減方法。,"아, 그래도 하나 생각난 게 있어요. 유스테스 군이 말한, 리스크를 경감하는 방법이요."
Japanese,scene_evt210226_cp2_q1_s20,detail,유스테스,……なに？,...뭐라고?
Japanese,scene_evt210226_cp2_q1_s20,detail,,<span class='scene-font-katari'>するとマキラは、山になった研究資料を</span><br><span class='scene-font-katari'>かきわけ、いくつかのファイルを</span><br><span class='scene-font-katari'>拾い上げる。</span>,<span class='scene-font-katari'>그러자 마키라는 산처럼 쌓인 연구자료를 헤집더니 몇 개의 파일을 집어들었다.</span>
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,機神を動力化するにあたって、<br>アイザック君もいろいろと<br>研究していたみたいで。,"기신을 동력화하는 데에 있어서, 아이작 군도 여러 가지로 연구를 하고 있었던 모양이더라고요."
Japanese,scene_evt210226_cp2_q1_s20,detail,유스테스,続けてくれ。,계속 말해 봐라.
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,ええと……<br>すみっこの<br>走り書きにあったんですけど。,으음... 구석에 날려 쓴 필기가 있었는데요.
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,<span class='scene-font-italic scene-font-blue'>「覚醒→神経順応レベルの閾値超え」</span><br><span class='scene-font-italic scene-font-blue'>「閾値超で精神共鳴反応」</span><span class='scene-font-italic scene-font-blue'>「共鳴距離は</span><br><span class='scene-font-italic scene-font-blue'>長く、月での遠隔運用が可能？」</span>と。,<span class='scene-font-italic scene-font-blue'>「각성→신경 순응 레벨의 역치 초월」</span><br><span class='scene-font-italic scene-font-blue'>「역치 초월에 따른 정신 공명 반응」</span><span class='scene-font-italic scene-font-blue'>「공명거리가 길기 때문에 달에서의 원거리 운용 가능?」</span>이라고요.
Japanese,scene_evt210226_cp2_q1_s20,detail,이루자,……神経順応？,...신경 순응?
Japanese,scene_evt210226_cp2_q1_s20,detail,유스테스,精神共鳴……,정신 공명...
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,私も最初は何が書いてあるのか<br>さっぱりだったんですけど……,저도 처음에는 무슨 말이 쓰여있는 건지 전혀 알 수가 없었는데요...
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,あ、バザラガ君。<br>ちょっといいです？,"아, 바자라가 군. 잠깐 괜찮을까요?"
Japanese,scene_evt210226_cp2_q1_s20,detail,바자라가,む……,음...?
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,ええと、実験したくてですね。,그... 실험을 해 보고 싶은데요.
Japanese,scene_evt210226_cp2_q1_s20,detail,바자라가,……ああ、構わんが。,...그래. 상관없다.
Japanese,scene_evt210226_cp2_q1_s20,detail,<span class='scene-font-1'>이루자・유스테스</span>,…………,…………
Japanese,scene_evt210226_cp2_q1_s20,detail,마키라,神経順応と精神共鳴の結果、<br>何が起こるか、見てみようと<br>思います。,신경 순응과 정신 공명의 결과로 무슨 일이 일어나는지 한번 볼까 해요.
